MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
207.5707,536.412,98.6711,0.02,0.0001,0.0196,0.0072,0.046,0.0416,1.0582,0.0347,0.0292,0.1028,0.058,0.1202,27.6809,0.6052,0.6289,-2.602,0.2198,2.4813,0.3508
109.0317,336.0005,116.0071,0.0154,0.0001,0.0208,0.0111,0.0044,0.0602,0.7189,0.0226,0.0332,0.1285,0.0904,0.1239,29.5566,0.3948,0.6686,-5.1326,0.1646,1.7735,0.3942
122.8529,261.0985,137.1821,0.0063,0.0,0.0122,0.0087,0.0561,0.0466,0.4007,0.0404,0.0429,0.1334,0.146,0.0771,20.5342,0.3536,0.7409,-2.624,0.2576,3.2249,0.1607
208.4605,384.972,95.4086,0.0107,0.0002,0.0148,0.0061,0.0209,0.0456,0.4472,0.027,0.0561,0.0276,0.0637,0.0601,23.5123,0.4549,0.6434,-6.7516,0.3416,1.909,0.4973
191.5666,110.4951,66.371,0.0202,0.0001,0.0104,0.0142,0.0486,0.0758,0.5711,0.0282,0.0093,0.0282,0.1528,0.2469,14.5252,0.6621,0.7202,-4.0215,0.4085,3.4487,0.3847
135.6543,482.0215,113.7535,0.0213,0.0001,0.0047,0.0025,0.0433,0.0878,0.4346,0.0318,0.0672,0.0358,0.1313,0.1114,29.722,0.439,0.5962,-2.8473,0.2738,3.6339,0.3386
197.027,318.8424,78.0985,0.0077,0.0002,0.0155,0.0079,0.009,0.0767,0.5251,0.0126,0.0564,0.0948,0.1059,0.0428,19.2397,0.5658,0.8185,-2.7281,0.2815,3.5783,0.2138
151.6819,433.4917,120.6613,0.0074,0.0002,0.0189,0.0024,0.0035,0.0689,1.0384,0.0564,0.0092,0.11,0.145,0.1526,17.6234,0.314,0.8022,-5.5673,0.381,1.9275,0.2115
104.3336,257.9471,190.7857,0.0107,0.0001,0.008,0.0119,0.0387,0.0288,0.5868,0.037,0.0077,0.0856,0.0907,0.1752,20.6323,0.6146,0.7655,-6.2321,0.2718,1.8082,0.2653
216.7819,478.2544,174.4412,0.0157,0.0003,0.0213,0.0151,0.0398,0.02,0.4795,0.0068,0.0599,0.1116,0.0767,0.0051,10.0036,0.5517,0.7477,-5.6742,0.2877,3.4006,0.3716
184.0563,495.0716,107.996,0.0298,0.0001,0.0208,0.0129,0.0241,0.0371,1.1977,0.0366,0.0259,0.0499,0.0392,0.2649,10.2427,0.3371,0.7887,-5.7679,0.1221,2.2465,0.5154
209.1785,219.0743,178.4826,0.0108,0.0001,0.0061,0.0161,0.037,0.021,1.056,0.0495,0.0459,0.0406,0.0296,0.3066,28.8159,0.5298,0.7559,-4.5786,0.1923,1.896,0.2548
122.4404,436.4949,198.6005,0.0244,0.0003,0.007,0.0029,0.0388,0.0934,0.6666,0.0131,0.0344,0.109,0.0834,0.2485,23.0106,0.5145,0.6144,-5.1147,0.3543,1.9207,0.3018
132.3616,130.9605,181.9703,0.0033,0.0001,0.0018,0.0193,0.0029,0.0302,0.3616,0.019,0.0106,0.0719,0.0917,0.0521,22.6102,0.651,0.6412,-3.6829,0.1387,2.6199,0.2366
218.2671,315.0765,179.4726,0.0254,0.0,0.0106,0.0195,0.0472,0.0764,0.5272,0.055,0.0582,0.0371,0.0509,0.1537,8.6913,0.6507,0.7067,-5.6494,0.3359,2.4661,0.3859
129.2813,441.9501,87.3772,0.0287,0.0,0.0108,0.0166,0.0046,0.1189,1.1335,0.0407,0.0465,0.0892,0.1461,0.2722,20.6025,0.6265,0.5752,-2.6377,0.1686,2.97,0.1788
92.6524,243.434,102.3861,0.0067,0.0002,0.0175,0.0159,0.0317,0.1098,1.2972,0.0412,0.0122,0.0465,0.0529,0.2296,18.352,0.3365,0.63,-4.2551,0.1377,2.9375,0.3153
211.6177,331.1533,107.6569,0.005,0.0002,0.0045,0.0172,0.0632,0.1143,0.6364,0.0139,0.0428,0.0952,0.1285,0.2759,28.6152,0.3179,0.7758,-5.1638,0.2738,2.7126,0.2438
93.6982,379.5691,133.1615,0.016,0.0001,0.0091,0.0106,0.0485,0.029,1.1729,0.0446,0.0104,0.0184,0.1501,0.3043,15.0086,0.4348,0.7781,-2.895,0.2825,1.9633,0.4646
168.5392,203.6546,142.5006,0.0031,0.0002,0.0104,0.0106,0.0434,0.0811,0.1462,0.0363,0.0104,0.1214,0.093,0.0287,23.1924,0.4774,0.7252,-6.1496,0.286,1.8002,0.1052
222.5191,318.5854,194.4016,0.0099,0.0001,0.0056,0.0071,0.0569,0.0582,1.063,0.006,0.0106,0.1084,0.0966,0.1627,9.612,0.6725,0.6494,-3.4805,0.0843,3.4521,0.437
110.1934,196.2227,104.3425,0.0206,0.0001,0.0116,0.0131,0.0024,0.0811,0.8582,0.0439,0.0725,0.1333,0.033,0.0533,13.9082,0.3888,0.8122,-6.335,0.393,2.0614,0.1688
208.3012,567.5327,174.4054,0.0077,0.0001,0.0009,0.0163,0.0292,0.1154,0.8997,0.0437,0.0641,0.0546,0.1026,0.0386,25.2882,0.6133,0.6813,-6.6296,0.2207,2.3381,0.4294
222.8795,446.2784,194.8665,0.0254,0.0001,0.0092,0.0092,0.0541,0.0607,0.41,0.0148,0.0535,0.0317,0.085,0.0106,12.8739,0.605,0.6254,-4.9747,0.4492,2.3444,0.3084
181.39,284.2619,161.3906,0.0103,0.0,0.0057,0.0082,0.0533,0.085,1.1666,0.0563,0.0714,0.1371,0.042,0.1039,10.7981,0.4467,0.5816,-3.1312,0.1355,3.2447,0.1582
217.5674,173.8075,195.7272,0.0195,0.0001,0.0143,0.0032,0.0332,0.0124,0.4102,0.0119,0.0106,0.0467,0.1495,0.2198,10.4356,0.5356,0.762,-7.105,0.156,2.3856,0.3403
123.4264,437.678,130.45,0.0318,0.0002,0.0149,0.0149,0.0437,0.0807,0.2416,0.0132,0.044,0.0827,0.1231,0.0521,8.5319,0.349,0.7069,-4.2429,0.1223,2.2004,0.3183
192.2,275.0941,164.9378,0.0097,0.0001,0.004,0.0033,0.0545,0.0478,0.6814,0.048,0.0528,0.0155,0.1195,0.0024,20.087,0.2758,0.579,-5.86,0.3847,2.0917,0.4143
177.197,363.7398,95.404,0.0148,0.0,0.017,0.0009,0.0091,0.1102,0.8586,0.0445,0.0456,0.1271,0.0831,0.2926,12.746,0.4338,0.6433,-5.647,0.321,2.765,0.2903
208.4324,202.0564,197.1413,0.0108,0.0002,0.0081,0.0075,0.0333,0.1186,0.515,0.0056,0.0121,0.0273,0.046,0.1548,20.548,0.6619,0.8242,-6.7208,0.4079,2.2902,0.5156
212.6044,407.0566,75.4851,0.0274,0.0002,0.0129,0.0148,0.0059,0.1072,1.1813,0.0178,0.068,0.0316,0.0441,0.2886,18.122,0.6473,0.7318,-5.8006,0.1269,2.5339,0.5187
133.5669,188.7146,131.037,0.0105,0.0001,0.0084,0.0035,0.0269,0.0886,1.1708,0.0291,0.0659,0.0598,0.0649,0.2673,9.875,0.6311,0.5834,-7.0317,0.3462,2.1322,0.1724
205.8471,578.9962,179.6244,0.0321,0.0002,0.0083,0.008,0.0494,0.1063,1.0055,0.0511,0.0231,0.132,0.091,0.0314,15.5845,0.6316,0.6571,-3.1104,0.146,3.0008,0.1385
137.6898,144.6729,96.3225,0.0107,0.0001,0.0163,0.0144,0.0181,0.0828,0.5751,0.0277,0.0682,0.1375,0.0233,0.0537,20.8973,0.5062,0.6564,-4.6052,0.0804,2.7781,0.2156
219.9189,241.8657,136.55,0.0197,0.0002,0.0022,0.0173,0.0409,0.0868,0.5739,0.0109,0.0185,0.0659,0.1606,0.2398,13.8921,0.2874,0.5952,-3.8981,0.2531,2.7084,0.2873
210.0068,432.7106,105.8664,0.0325,0.0001,0.0178,0.0157,0.0179,0.0368,0.8458,0.0083,0.0272,0.1282,0.0158,0.0366,9.4267,0.34,0.7045,-4.2336,0.1721,3.1617,0.2724
129.8235,129.1049,71.3023,0.0213,0.0002,0.0008,0.0193,0.0627,0.0493,0.1514,0.0461,0.0405,0.0188,0.0575,0.0202,16.5807,0.3753,0.8098,-4.5736,0.3289,2.9064,0.1587
128.7601,231.3359,124.303,0.019,0.0001,0.0198,0.0165,0.0061,0.0324,1.1471,0.0219,0.0707,0.0959,0.0843,0.0947,20.3392,0.5677,0.6906,-2.7018,0.4274,1.9516,0.1206
127.2508,163.7632,110.9297,0.0047,0.0001,0.0026,0.0082,0.0262,0.0203,0.6016,0.0143,0.0517,0.0299,0.1483,0.2027,27.4214,0.4095,0.6564,-6.3628,0.1194,1.8484,0.3925
129.7841,321.6902,190.1456,0.0199,0.0002,0.0161,0.0057,0.0125,0.0911,0.5108,0.0526,0.0184,0.0186,0.0563,0.2179,27.6825,0.3841,0.5984,-6.6065,0.1364,3.5809,0.2452
209.0855,576.277,120.2269,0.0293,0.0001,0.0053,0.0148,0.019,0.0886,0.5273,0.054,0.065,0.1191,0.1565,0.201,14.0586,0.505,0.7832,-6.3966,0.1831,2.5356,0.2813
130.9293,467.6328,74.3614,0.0058,0.0002,0.016,0.0125,0.0426,0.0673,0.9462,0.021,0.0238,0.1308,0.0356,0.2463,16.1772,0.4324,0.6726,-6.2107,0.3553,2.7249,0.2341
120.9679,309.0437,159.9908,0.0243,0.0002,0.009,0.0159,0.0045,0.0483,0.6154,0.034,0.0271,0.1259,0.0886,0.1527,12.3973,0.3041,0.6605,-5.4318,0.1051,3.3505,0.4452
220.0806,284.1233,189.5701,0.0081,0.0,0.0133,0.0067,0.0369,0.0676,0.8507,0.0459,0.0515,0.1327,0.0844,0.2854,26.2092,0.4922,0.6112,-6.9799,0.1562,1.7698,0.3216
196.1272,539.822,185.9077,0.024,0.0001,0.0064,0.0056,0.0398,0.0611,0.957,0.0461,0.0711,0.1305,0.0828,0.0871,9.6655,0.5705,0.5825,-2.6437,0.3777,2.7284,0.2793
89.0622,400.9122,109.9794,0.0114,0.0001,0.0032,0.0039,0.0605,0.1091,0.2005,0.0275,0.0605,0.0806,0.0477,0.0831,11.5867,0.3322,0.8043,-6.4419,0.337,2.4043,0.1671
185.4767,428.3142,122.5987,0.0045,0.0,0.0038,0.0164,0.062,0.1166,0.9467,0.0158,0.0445,0.0883,0.0754,0.1153,20.0199,0.5411,0.7114,-3.9251,0.2542,2.5718,0.2574
153.1614,466.3975,163.1009,0.0245,0.0001,0.0087,0.0068,0.0419,0.0922,0.1953,0.0083,0.0605,0.0823,0.0578,0.1586,13.2143,0.6513,0.6226,-4.5313,0.2436,2.4289,0.5135
172.7556,544.14,99.8657,0.0127,0.0,0.0159,0.0092,0.0362,0.109,1.1534,0.043,0.0328,0.0267,0.1395,0.0271,28.6059,0.341,0.7693,-3.7476,0.2327,3.5639,0.3693
184.078,367.2177,108.4175,0.0102,0.0002,0.0116,0.0146,0.0193,0.0387,0.6,0.0398,0.0399,0.069,0.158,0.1747,25.9053,0.4919,0.6041,-2.4949,0.2676,2.569,0.2822
158.8484,344.9387,81.9879,0.0302,0.0001,0.0011,0.0168,0.0279,0.0591,0.4556,0.056,0.0392,0.1175,0.082,0.244,13.1299,0.5541,0.7485,-6.0913,0.374,3.432,0.3824
216.7158,228.7243,131.1739,0.0269,0.0001,0.0155,0.0137,0.0642,0.0253,1.1478,0.0138,0.0584,0.0832,0.0848,0.0423,19.008,0.3965,0.7694,-7.0878,0.0813,1.8886,0.5156
170.1367,365.1189,99.182,0.0181,0.0002,0.0062,0.0118,0.0455,0.118,0.2691,0.025,0.0729,0.054,0.1236,0.1627,12.6523,0.3167,0.7204,-3.6817,0.0835,2.9157,0.1092
215.4906,325.8863,160.8607,0.0278,0.0001,0.0084,0.0194,0.0336,0.0207,1.2663,0.0075,0.0303,0.0374,0.026,0.1576,13.3342,0.3855,0.6659,-2.54,0.178,2.4254,0.1035
140.6816,494.3649,78.4315,0.0148,0.0001,0.0151,0.006,0.0357,0.1047,0.9565,0.0561,0.072,0.0308,0.1074,0.1935,10.3126,0.6747,0.6037,-3.5566,0.293,3.0581,0.3288
92.7253,509.3437,129.8784,0.0121,0.0002,0.0206,0.007,0.0576,0.0998,1.1986,0.048,0.018,0.1024,0.017,0.1154,20.1081,0.5303,0.678,-5.3704,0.2952,2.7755,0.4667
184.8968,211.5857,142.0262,0.0314,0.0,0.0091,0.0172,0.0556,0.0957,0.2207,0.0166,0.076,0.0573,0.163,0.133,23.4954,0.5319,0.7782,-2.8333,0.3237,2.666,0.286
198.3638,424.3326,185.8624,0.0224,0.0,0.0208,0.0102,0.0316,0.0328,1.0855,0.0447,0.0174,0.1317,0.0789,0.058,23.0797,0.2755,0.603,-2.9142,0.3037,3.6435,0.3828
94.2615,190.1839,134.184,0.0044,0.0001,0.0101,0.0133,0.0118,0.1178,0.9952,0.0192,0.0528,0.0379,0.1195,0.0621,27.8106,0.3454,0.8235,-5.1544,0.3927,3.1263,0.4327
136.6304,157.7736,117.7208,0.0106,0.0001,0.0144,0.0172,0.0393,0.1089,0.2778,0.0463,0.039,0.0111,0.0164,0.2068,24.666,0.2831,0.7437,-3.749,0.1667,2.7047,0.2357
162.8447,165.6221,100.6268,0.0172,0.0002,0.0096,0.0041,0.0046,0.0618,1.1576,0.0504,0.0418,0.0657,0.162,0.2915,16.9891,0.402,0.7348,-7.0516,0.2256,3.6276,0.0935
108.095,176.7184,182.4003,0.0313,0.0001,0.0065,0.0156,0.0225,0.0219,0.6563,0.0262,0.0617,0.1164,0.038,0.1257,17.4882,0.5576,0.6206,-4.0124,0.0981,2.1787,0.4975
199.6072,576.1722,104.0813,0.0293,0.0001,0.0169,0.0118,0.0264,0.0338,1.1937,0.0121,0.06,0.1123,0.1061,0.0594,27.2562,0.4897,0.6373,-6.0919,0.2809,2.332,0.3419
177.0583,368.4712,166.3832,0.0206,0.0001,0.011,0.0039,0.0395,0.1084,0.4677,0.0092,0.045,0.0615,0.0579,0.0734,24.6083,0.4643,0.7314,-5.9322,0.1374,3.1419,0.503
103.2379,218.337,82.7033,0.0224,0.0002,0.005,0.016,0.028,0.0157,0.6322,0.0227,0.0141,0.0847,0.0627,0.0618,27.5814,0.431,0.6472,-6.9741,0.2256,2.7905,0.099
111.0824,576.7547,193.9091,0.0157,0.0,0.0083,0.0065,0.0298,0.0618,0.1172,0.0469,0.0167,0.0696,0.0992,0.2136,16.2119,0.5353,0.6501,-5.485,0.3231,2.4307,0.2132
176.1384,372.9956,192.2059,0.0024,0.0001,0.0036,0.0041,0.0241,0.1042,0.9098,0.0296,0.0712,0.0499,0.0311,0.2168,18.5895,0.5027,0.724,-3.4882,0.3045,2.9457,0.4603
209.4804,202.8583,110.5428,0.0305,0.0002,0.0161,0.0141,0.035,0.0849,1.2993,0.0054,0.0387,0.1012,0.1685,0.291,21.0992,0.6357,0.6912,-2.5681,0.1743,3.2637,0.465
116.294,169.4656,178.2191,0.0187,0.0,0.0013,0.0148,0.0148,0.0919,0.919,0.0277,0.033,0.0641,0.0723,0.0867,21.4732,0.4952,0.7636,-5.3002,0.2212,3.1609,0.4121
126.7464,372.627,181.7556,0.0052,0.0003,0.0182,0.0068,0.0254,0.0487,1.2763,0.047,0.0059,0.0169,0.1008,0.1831,18.9499,0.4756,0.7856,-3.8312,0.2334,2.7791,0.1701
89.4589,529.8775,89.3271,0.0262,0.0002,0.0013,0.0066,0.0121,0.1075,0.5838,0.0297,0.0229,0.067,0.1112,0.305,9.2551,0.4125,0.7686,-5.3643,0.2413,2.9844,0.1297
103.0853,464.2669,67.7923,0.017,0.0001,0.0021,0.0091,0.0418,0.05,0.5022,0.0148,0.021,0.0241,0.1385,0.2467,22.9218,0.4417,0.8112,-3.0457,0.3515,2.9734,0.1763
126.729,195.3283,139.6211,0.0197,0.0002,0.0081,0.0073,0.0479,0.0827,0.539,0.0364,0.0151,0.056,0.1609,0.1587,27.1451,0.3026,0.5954,-7.0591,0.1044,2.3526,0.2091
173.9823,396.4839,126.8676,0.03,0.0002,0.0109,0.0112,0.0408,0.0813,0.4292,0.0107,0.0544,0.0097,0.0814,0.3023,21.2372,0.612,0.7375,-6.8949,0.084,1.8595,0.1199
134.9304,458.1725,173.4444,0.0235,0.0001,0.0184,0.0082,0.0036,0.0509,0.7683,0.0337,0.0511,0.1026,0.0557,0.1023,27.5777,0.6421,0.7993,-3.4597,0.3895,1.9088,0.479
112.7192,335.3824,119.7268,0.0032,0.0001,0.0062,0.0045,0.034,0.0498,0.4949,0.0186,0.0566,0.0312,0.1497,0.2806,21.2332,0.5079,0.6534,-3.8825,0.1395,2.6837,0.3146
91.2841,358.9425,78.4802,0.0239,0.0001,0.0163,0.0079,0.0643,0.0113,0.2634,0.0561,0.0487,0.0223,0.1072,0.1939,25.3499,0.5396,0.7079,-7.0178,0.26,2.3707,0.1388
99.8868,339.7765,86.6337,0.0151,0.0001,0.0102,0.0104,0.0442,0.1109,0.2718,0.0292,0.0605,0.0805,0.1646,0.1929,19.0189,0.569,0.804,-6.4806,0.1893,2.6211,0.3484
149.0717,577.9958,77.9745,0.029,0.0002,0.0027,0.0035,0.015,0.0467,1.1424,0.0445,0.0274,0.0193,0.1544,0.1475,16.0227,0.4023,0.6157,-5.6792,0.3062,2.8777,0.2309
114.4537,394.7927,102.3693,0.0178,0.0002,0.0032,0.0088,0.0421,0.0265,0.3692,0.0534,0.008,0.0224,0.1512,0.1537,29.6735,0.5955,0.7906,-5.3213,0.1697,3.191,0.2892
110.1768,409.1671,161.4286,0.0207,0.0001,0.0029,0.0016,0.0584,0.0781,1.1672,0.0175,0.0452,0.1048,0.0337,0.1364,13.6093,0.4387,0.5997,-3.3907,0.2731,2.2103,0.4283
122.1277,337.0482,118.1645,0.0292,0.0002,0.0186,0.0105,0.0633,0.0298,1.271,0.0219,0.0541,0.1235,0.1487,0.1187,16.4963,0.5877,0.7447,-3.527,0.3771,3.2955,0.4619
171.2668,435.2264,98.0611,0.0204,0.0,0.0008,0.0092,0.004,0.0127,1.1776,0.0303,0.0676,0.091,0.0758,0.0182,11.3807,0.6239,0.7783,-2.6174,0.1809,2.303,0.2467
147.4,340.1469,83.8728,0.0167,0.0,0.0067,0.0188,0.0035,0.0673,0.7823,0.0209,0.0428,0.0087,0.0989,0.2134,15.4153,0.281,0.5941,-2.6999,0.1009,3.2126,0.509
166.6039,281.3897,139.9342,0.0283,0.0002,0.0023,0.0061,0.0106,0.0431,0.5829,0.0181,0.0602,0.0571,0.1161,0.0948,24.4089,0.4752,0.8103,-5.9439,0.4222,2.5418,0.2173
138.2881,329.9231,166.6392,0.0305,0.0001,0.0031,0.0171,0.059,0.1009,0.8236,0.0533,0.0381,0.1175,0.0521,0.2893,28.6264,0.3178,0.5916,-5.9059,0.4498,3.431,0.3143
217.5823,358.3844,135.2128,0.0253,0.0,0.0182,0.0184,0.0526,0.1024,1.2272,0.0446,0.0568,0.108,0.0422,0.1495,9.3152,0.4688,0.6591,-3.5466,0.1464,1.8298,0.4898
218.0012,363.168,173.8081,0.0104,0.0002,0.0166,0.0099,0.0414,0.0158,0.4292,0.0515,0.0468,0.046,0.0463,0.22,20.9116,0.4816,0.6238,-6.6207,0.0764,2.9399,0.2352
127.3825,326.6207,79.434,0.0134,0.0001,0.0107,0.0048,0.0262,0.0753,0.2227,0.0355,0.032,0.0186,0.0896,0.162,12.0695,0.2991,0.8129,-6.2083,0.1256,3.3061,0.3181
89.6903,152.9266,182.5692,0.0037,0.0002,0.0109,0.0105,0.0572,0.0797,1.2929,0.0196,0.0716,0.1191,0.1266,0.1463,20.3148,0.2826,0.7285,-6.4512,0.4307,2.698,0.4457
143.1803,126.6344,192.9734,0.0308,0.0002,0.0163,0.0143,0.0078,0.0532,0.4752,0.016,0.0058,0.0935,0.1261,0.2174,22.3735,0.6259,0.7329,-5.5644,0.2761,3.1489,0.3774
134.2768,234.4866,136.6398,0.0165,0.0002,0.0181,0.0037,0.0511,0.0781,0.5327,0.0214,0.0652,0.1359,0.0867,0.1436,24.5902,0.6785,0.8149,-5.1858,0.0798,2.0433,0.151
207.49,371.5417,126.8647,0.019,0.0002,0.0019,0.0101,0.0187,0.1126,1.1817,0.0242,0.0165,0.0537,0.1422,0.1128,9.9349,0.559,0.6766,-3.208,0.2055,2.165,0.1774
105.1062,259.1368,114.3075,0.0274,0.0002,0.0143,0.0091,0.0551,0.0477,0.6055,0.0414,0.0395,0.066,0.148,0.3138,14.434,0.6633,0.5931,-3.2896,0.1971,2.4529,0.1246
107.9601,534.3712,113.7454,0.0124,0.0,0.0099,0.0033,0.0231,0.0828,0.7758,0.0406,0.0131,0.118,0.09,0.1782,15.0156,0.6473,0.8212,-4.8901,0.1878,2.2899,0.3091
192.1023,491.0136,65.7786,0.0268,0.0002,0.0032,0.0028,0.0365,0.0278,0.4437,0.0084,0.0509,0.1304,0.1579,0.0365,11.3545,0.5123,0.6135,-4.9031,0.0899,2.0932,0.4073
160.8904,411.7955,154.8715,0.0055,0.0002,0.0198,0.0102,0.0382,0.0691,0.5905,0.0119,0.066,0.0438,0.0688,0.1862,29.1515,0.5819,0.6459,-4.2635,0.0733,3.6142,0.4172
123.3863,407.8253,70.9173,0.0164,0.0002,0.0087,0.0012,0.0571,0.0138,0.3777,0.0292,0.0297,0.1047,0.0834,0.1055,15.6822,0.5704,0.6742,-5.9366,0.081,2.6365,0.3784
103.4789,335.4504,175.2591,0.0073,0.0002,0.014,0.0039,0.0169,0.0816,0.7569,0.0153,0.0533,0.1248,0.1543,0.0099,18.8785,0.4397,0.7981,-5.9646,0.209,2.1941,0.1316
174.9956,573.7232,192.7857,0.0131,0.0002,0.0036,0.0138,0.051,0.0771,0.7446,0.0082,0.0134,0.1376,0.088,0.0091,14.5534,0.3346,0.5768,-4.1094,0.2585,3.2182,0.1435
110.6294,559.8998,112.4622,0.021,0.0001,0.0139,0.0105,0.057,0.0463,0.6798,0.035,0.0363,0.0109,0.136,0.1695,17.2766,0.5365,0.6495,-3.8632,0.3924,2.2809,0.1709
119.2192,411.7886,89.7534,0.0173,0.0001,0.0063,0.011,0.0302,0.0608,1.1137,0.0533,0.0459,0.1326,0.1653,0.1355,18.6777,0.4012,0.7293,-3.1208,0.3403,2.47,0.1543
159.3427,269.5278,186.9048,0.0101,0.0001,0.0048,0.0067,0.0082,0.0441,0.9687,0.0113,0.0125,0.0504,0.1107,0.2201,17.1454,0.3565,0.7282,-4.589,0.1856,3.2744,0.1497
156.9503,387.3019,152.3014,0.0119,0.0,0.0015,0.0069,0.0309,0.0126,0.5872,0.0273,0.0213,0.0721,0.0455,0.0835,21.8737,0.2773,0.7857,-4.9819,0.1632,2.9688,0.4904
141.9381,414.4031,125.3813,0.021,0.0001,0.0101,0.0046,0.0248,0.1091,0.5578,0.0508,0.0344,0.1169,0.0141,0.299,24.1348,0.3894,0.6126,-6.6363,0.4047,2.0096,0.3764
164.8325,443.9983,73.1971,0.0204,0.0002,0.0149,0.0058,0.0487,0.0469,1.0815,0.0374,0.0458,0.1069,0.1083,0.1649,14.9002,0.3171,0.6522,-2.9906,0.1202,3.584,0.4955
174.7144,139.4317,141.926,0.0163,0.0,0.0138,0.0181,0.0445,0.117,0.1442,0.0303,0.007,0.0313,0.0449,0.1507,21.3967,0.3909,0.732,-4.1445,0.0734,2.5783,0.3373
202.687,190.2432,155.759,0.0172,0.0001,0.004,0.0078,0.0047,0.0449,0.9285,0.0245,0.0341,0.1233,0.0939,0.0387,17.1317,0.4215,0.7763,-3.4088,0.4115,2.7569,0.1255
164.472,572.2922,182.7546,0.0085,0.0,0.0084,0.0142,0.0528,0.0226,0.2184,0.0371,0.0277,0.0759,0.0648,0.2213,27.4582,0.3098,0.5962,-3.7259,0.3574,3.0787,0.3325
97.1366,162.2617,71.53,0.0095,0.0001,0.0076,0.0084,0.049,0.072,1.1151,0.0084,0.0126,0.1273,0.1004,0.1212,15.9483,0.5172,0.737,-3.3123,0.352,2.7805,0.433
201.7382,524.6114,157.8511,0.0123,0.0002,0.0076,0.0074,0.0195,0.1145,1.1199,0.0406,0.0488,0.1235,0.0812,0.1465,24.8108,0.5749,0.6064,-4.3634,0.2775,3.3376,0.2151
95.5172,369.886,146.3492,0.0272,0.0002,0.0057,0.0182,0.0278,0.0195,0.5076,0.0479,0.0775,0.0149,0.115,0.0191,10.4483,0.2865,0.7317,-5.1332,0.1754,1.7926,0.1585
160.375,569.808,123.7749,0.0221,0.0001,0.007,0.008,0.026,0.0321,0.5262,0.0356,0.0414,0.1013,0.0579,0.2379,10.514,0.6272,0.7522,-4.8337,0.4041,2.7901,0.1248
185.9737,139.3371,192.9531,0.0155,0.0001,0.0136,0.0095,0.0187,0.0811,0.4124,0.0091,0.0074,0.0274,0.0273,0.2028,17.1155,0.3831,0.5938,-6.8164,0.3001,1.966,0.2267
170.6375,337.6908,66.1802,0.0276,0.0001,0.0063,0.0131,0.006,0.019,0.7254,0.0489,0.0746,0.1135,0.0448,0.066,10.9447,0.4645,0.653,-3.8282,0.1902,3.5235,0.2505
